name,h_index,i10_index,works_count,cited_by_count,rush_works_5yr,two_year_mean_citedness,rush_dept,college,match_type,orcid,openalex_id,recent_author_works_5yr,senior_author_5yr,first_author_5yr,contributing_author_5yr,ambiguous_author_5yr,leadership_ratio_5yr,rush_affiliated_senior_5yr,external_contributor_5yr,corresponding_author_5yr,mean_fwci_5yr,top10_impact_works_5yr,top10_impact_share_5yr,dominant_topic_5yr,dominant_topic_works_5yr,openalex_awarded_works_5yr,nih_awarded_works_5yr,cross_dept_publications_5yr,rush_led_cross_dept_5yr,nih_project_years_5yr,nih_unique_projects_5yr,nih_active_projects,nih_r01_projects_5yr,nih_total_cost_5yr,nih_pi_match_type
Amita Raj,0,0,0,0,0,0,Internal Medicine,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Ricardo D. Ramirez,0,0,0,0,0,0,College of Health Sciences,College of Health Sciences,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Marc Ramseyer,0,0,0,0,0,0,Internal Medicine,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Vijaya Rao,0,0,0,0,0,0,Internal Medicine,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Alok Rastogi,0,0,0,0,0,0,Pediatrics,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Gregory Rauch,0,0,0,0,0,0,Internal Medicine,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Akbar Razvi,0,0,0,0,0,0,College of Health Sciences,College of Health Sciences,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Virginia A. Reising,0,0,0,0,0,0,College of Nursing,College of Nursing,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Peter Reisz,0,0,0,0,0,0,Urology,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Maria C. Reyes,0,0,0,0,0,0,Internal Medicine,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Maria L. Reyes,0,0,0,0,0,0,Pediatrics,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Jannet Manuela Reyna-Quito,0,0,1,0,1,0.0,Internal Medicine,Rush Medical College,"matched(ns=23,rw=1)",https://orcid.org/0009-0008-7171-3637,https://openalex.org/A5120658678,1,0,1,0,0,0.000,0,0,1,0.000,0,0.000,Antibiotic Use and Resistance,1,0,0,0,0,0,0,0,0,0,none
Kelly Rhodes,0,0,0,0,0,0,Psychiatry & Behavioral Sciences,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Melissa M. Rice,0,0,0,0,0,0,Emergency Medicine,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Dejuran Richardson,0,0,0,0,0,0,Preventive Medicine,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Fred Richardson,0,0,0,0,0,0,Family & Preventive Medicine,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Harry M. Richter,0,0,0,0,0,0,Surgery,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Lynette Richter,0,0,0,0,0,0,College of Nursing,College of Nursing,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Maureen Riegert,0,0,0,0,0,0,Dermatology,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Breanne Rimkus,0,0,0,0,0,0,College of Nursing,College of Nursing,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Eduardo Rios,0,0,0,0,0,0,Physiology & Biophysics,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,1,1,0,1,483172,exact_first_last
Abbas Rizvi,0,0,1,0,1,0.0,Internal Medicine,Rush Medical College,"matched(ns=20,rw=1)",,https://openalex.org/A5093954585,1,0,0,1,0,0.000,0,0,0,0.000,0,0.000,Public Health Policies and Education,1,0,0,1,1,0,0,0,0,0,none
Marguerite Wydra,0,0,0,0,0,0,Pediatrics,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Mary F. Rodts,0,0,0,0,0,0,College of Nursing,College of Nursing,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Meredith Rogers,0,0,0,0,0,0,Dermatology,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Adriana Romero,0,0,0,0,0,0,Pediatrics,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Richard J. Ropp,0,0,0,0,0,0,Anesthesiology,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Mario Corrales Rosas,0,0,0,0,0,0,Family & Preventive Medicine,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Jonathan Roselman,0,0,0,0,0,0,Internal Medicine,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Audrey Rosenblatt,0,0,0,0,0,0,College of Nursing,College of Nursing,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
David Rosenfeld,0,0,0,0,0,0,Dermatology,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Maria Rosselson,0,0,0,0,0,0,Ophthalmology,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Connie Rossini,0,0,0,0,0,0,Surgery,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
