department_a,department_b,cross_dept_works,rush_led_cross_dept_works
Emergency Medicine,Obstetrics & Gynecology,1,0
Emergency Medicine,Physical Medicine & Rehabilitation,1,1
Family & Preventive Medicine,Pathology,1,0
Family & Preventive Medicine,Surgery,1,0
Internal Medicine,Ophthalmology,1,0
Neurological Surgery,Pathology,1,1
Neurological Surgery,Pediatrics,1,1
Neurological Surgery,Radiation Oncology,1,1
Obstetrics & Gynecology,Otorhinolaryngology - Head & Neck Surgery,1,1
Obstetrics & Gynecology,Radiation Oncology,1,0
Obstetrics & Gynecology,Urology,1,1
Ophthalmology,Otorhinolaryngology - Head & Neck Surgery,1,1
Ophthalmology,Pathology,1,0
Ophthalmology,Physical Medicine & Rehabilitation,1,1
Orthopedic Surgery,Pediatrics,1,1
Pathology,Pediatrics,1,0
Pediatrics,Physical Medicine & Rehabilitation,1,1
Physical Medicine & Rehabilitation,Urology,1,0
Radiation Oncology,Urology,1,1
