rank,name,csv_h_index,openalex_h_index,h_index_status,csv_dept,rush_directory_dept,dept_status,directory_match_type,directory_match_score,rush_directory_name,rush_directory_title,rush_directory_college,evidence_url,openalex_id
52,Thomas DeCoursey,55,55,match,Physiology & Biophysics,Physiology & Biophysics,match,exact_name,1.000,"Thomas DeCoursey, PhD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/thomas-decoursey-phd,https://openalex.org/A5016708890
53,Christopher Forsyth,54,54,match,Internal Medicine,,not_found,not_found,0.884,,,,,https://openalex.org/A5062131424
54,Zoe Arvanitakis,53,53,match,Neurological Sciences,Neurological Sciences,match,exact_name,1.000,"Zoe Arvanitakis, MD, MS",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/zoe-arvanitakis-md-ms,https://openalex.org/A5014747656
55,Nadim J. Hallab,53,53,match,Orthopedic Surgery,Orthopedic Surgery,match,exact_name,1.000,"Nadim J. Hallab, PhD",The Crown Family Professor of Orthopedic Surgery,Rush Medical College,https://www.rushu.rush.edu/faculty/nadim-j-hallab-phd,https://openalex.org/A5057383926
56,Stephen M. Korbet,53,53,match,Internal Medicine,Internal Medicine,match,exact_name,1.000,"Stephen M. Korbet, MD",The Lester and Muriel Anixter Professor of Nephrology,Rush Medical College,https://www.rushu.rush.edu/faculty/stephen-m-korbet-md,https://openalex.org/A5075627079
57,Anne-Marie Malfait,53,53,match,Internal Medicine,Internal Medicine,match,exact_name,1.000,"Anne-Marie Malfait, MD, PhD","The Klaus E. Kuettner, PhD, Chair of Osteoarthritis Research",Rush Medical College,https://www.rushu.rush.edu/faculty/anne-marie-malfait-md-phd,https://openalex.org/A5067359842
58,Kern Singh,53,53,match,Orthopedic Surgery,Orthopedic Surgery,match,exact_name,1.000,"Kern Singh, MD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/kern-singh-md,https://openalex.org/A5002057987
59,Melissa Lamar,52,52,match,Psychiatry & Behavioral Sciences,Psychiatry & Behavioral Sciences,match,exact_name,1.000,"Melissa Lamar, PhD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/melissa-lamar-phd,https://openalex.org/A5007705765
60,Kumar B. Rajan,52,52,match,Internal Medicine,Internal Medicine,match,exact_name,1.000,"Kumar B. Rajan, PhD",The John and Alice Sabl Professor of Alzheimer's Disease and Neurological Sciences Research,Rush Medical College,https://www.rushu.rush.edu/faculty/kumar-b-rajan-phd,https://openalex.org/A5042824125
61,Judith Badner,51,51,match,Psychiatry & Behavioral Sciences,Psychiatry & Behavioral Sciences,match,exact_name,1.000,"Judith Badner, MD",Associate Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/judith-badner-md,https://openalex.org/A5109376464
62,Helen Burgess,51,51,match,Psychiatry & Behavioral Sciences,,no_directory_dept,exact_name,1.000,"Helen Burgess, PhD",Director,Rush Medical College,https://www.rushu.rush.edu/faculty/helen-burgess-phd,https://openalex.org/A5002895383
63,Asokumar Buvanendran,51,51,match,Anesthesiology,Anesthesiology,match,exact_name,1.000,"Asokumar Buvanendran, MD",Chairperson,Rush Medical College,https://www.rushu.rush.edu/faculty/asokumar-buvanendran-md,https://openalex.org/A5113554756
64,Paula P. Meier,51,51,match,Pediatrics,,not_found,not_found,0.839,,,,,https://openalex.org/A5025519596
65,William A. Scheftner,51,51,match,Psychiatry & Behavioral Sciences,Psychiatry & Behavioral Sciences,match,exact_name,1.000,"William A. Scheftner, MD",Associate Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/william-scheftner-md,https://openalex.org/A5108093408
66,Markus A. Wimmer,51,51,match,Orthopedic Surgery,Orthopedic Surgery,match,exact_name,1.000,"Markus A Wimmer, PhD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/markus-wimmer-phd,https://openalex.org/A5075404864
67,Vincent C. Traynelis,50,50,match,Neurological Surgery,Neurological Surgery,match,exact_name,1.000,"Vincent C. Traynelis, MD",The A. Watson Armour III and Sarah Armour Presidential Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/vincent-c-traynelis-md,https://openalex.org/A5047181463
68,Adam Yanke,50,50,match,Orthopedic Surgery,Orthopedic Surgery,match,exact_name,1.000,"Adam Yanke, MD, PhD",Associate Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/adam-yanke-md-phd,https://openalex.org/A5048558888
69,Christy Tangney,50,50,match,College of Health Sciences,,not_found,not_found,0.769,,,,,https://openalex.org/A5084677095
70,Pete S. Batra,49,49,match,Otorhinolaryngology - Head & Neck Surgery,Otorhinolaryngology - Head & Neck Surgery,match,exact_name,1.000,"Pete S. Batra, MD","The Stanton A. Friedberg, MD, Endowed Chair and Professor",Rush Medical College,https://www.rushu.rush.edu/faculty/pete-s-batra-md,https://openalex.org/A5111980059
71,R. Webster Crowley,49,49,match,Neurological Surgery,Neurological Surgery,match,exact_name,1.000,"R. Webster Crowley, MD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/r-webster-crowley-md,https://openalex.org/A5102956192
72,Jeffrey S. Kroin,49,49,match,Anesthesiology,Anesthesiology,match,exact_name,1.000,"Jeffrey S. Kroin, PhD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/jeffrey-s-kroin-phd,https://openalex.org/A5030152148
73,Anna Plaas,49,49,match,Internal Medicine,Internal Medicine,match,exact_name,1.000,"Anna Plaas, PhD","The Robert S. Katz, MD - Joan and Paul Rubschlager Presidential Professor of Osteoarthritis Research",Rush Medical College,https://www.rushu.rush.edu/faculty/anna-plaas-phd,https://openalex.org/A5066676304
74,Lai Wang,49,49,match,Internal Medicine,Internal Medicine,match,exact_name,1.000,"Lai Wang, MD, PhD",Assistant Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/lai-wang-md-phd,https://openalex.org/A5030513449
