appl_id,subproject_id,faculty_name,rush_dept,pi_full_name,pi_match_type,is_contact_pi,fiscal_year,project_num,core_project_num,activity_code,agency,award_amount,is_active,project_title,organization,project_start_date,project_end_date
11139458,7928,Lei Yu,Neurological Sciences,Lei  Yu,exact_first_last,true,2025,5P30AG072975-05,P30AG072975,P30,NIA,371305,true,Core C: Data Management and Statistical Core,RUSH UNIVERSITY MEDICAL CENTER,2021-09-01T00:00:00,2026-06-30T00:00:00
11139474,7934,Patricia Boyle,Psychiatry & Behavioral Sciences,PATRICIA A BOYLE,exact_first_last,true,2025,5P30AG072975-05,P30AG072975,P30,NIA,59928,true,Core G: Research Education Component (RL5),RUSH UNIVERSITY MEDICAL CENTER,2021-09-01T00:00:00,2026-06-30T00:00:00
11162253,,,,Mohamed  Abdel Mohsen,unmatched,false,2025,5R01AA031197-03,R01AA031197,R01,NIAAA,720080,true,Gut Microbiota-Mediated Inflammatory Interactions Between Alcohol Use Disorders and HIV Infection,RUSH UNIVERSITY MEDICAL CENTER,2023-09-25T00:00:00,2028-08-31T00:00:00
11162253,,Ali Keshavarzian,Internal Medicine,ALI  KESHAVARZIAN,exact_first_last,true,2025,5R01AA031197-03,R01AA031197,R01,NIAAA,720080,true,Gut Microbiota-Mediated Inflammatory Interactions Between Alcohol Use Disorders and HIV Infection,RUSH UNIVERSITY MEDICAL CENTER,2023-09-25T00:00:00,2028-08-31T00:00:00
11172290,,Supriya D. Mehta,Internal Medicine,Supriya Dinesh Mehta,exact_first_last,true,2025,5R01AI170564-04,R01AI170564,R01,NIAID,437276,true,Single arm trial of menstrual cups among economically vulnerable women to reduce Bacterial vaginosis and STIs through reduced harmful sexual and menstrual practices,RUSH UNIVERSITY MEDICAL CENTER,2022-08-01T00:00:00,2027-07-31T00:00:00
11180502,,David A. Bennett,Neurological Sciences,DAVID ALAN BENNETT,exact_first_last,true,2025,5R01AG075927-03,R01AG075927,R01,NIA,3251970,true,Whole Genome Sequencing and Admixture Analyses of Neuropathologic Traits in Diverse Cohorts in USA and Brazil,RUSH UNIVERSITY MEDICAL CENTER,2023-08-15T00:00:00,2028-07-31T00:00:00
11362899,,Christopher G. Goetz,Neurological Sciences,Christopher G. Goetz,exact_first_last,false,2025,3U01DK140923-02S1,U01DK140923,U01,NIDDK,214082,true,The Bidirectional Gut-Microbiota-Brain Axis in Parkinson’s disease: integrating mechanistic biomarkers of disease severity and progression,RUSH UNIVERSITY MEDICAL CENTER,2024-08-15T00:00:00,2029-06-30T00:00:00
11362899,,Ali Keshavarzian,Internal Medicine,ALI  KESHAVARZIAN,exact_first_last,true,2025,3U01DK140923-02S1,U01DK140923,U01,NIDDK,214082,true,The Bidirectional Gut-Microbiota-Brain Axis in Parkinson’s disease: integrating mechanistic biomarkers of disease severity and progression,RUSH UNIVERSITY MEDICAL CENTER,2024-08-15T00:00:00,2029-06-30T00:00:00
11362899,,,,Amol  Sharma,unmatched,false,2025,3U01DK140923-02S1,U01DK140923,U01,NIDDK,214082,true,The Bidirectional Gut-Microbiota-Brain Axis in Parkinson’s disease: integrating mechanistic biomarkers of disease severity and progression,RUSH UNIVERSITY MEDICAL CENTER,2024-08-15T00:00:00,2029-06-30T00:00:00
11398673,,,,Martin K Lotz,unmatched,false,2025,3UC2AR082186-02S1,UC2AR082186,UC2,NIAMS,83970,true,Mapping the joint-nerve interactome of the knee,RUSH UNIVERSITY MEDICAL CENTER,2022-09-23T00:00:00,2027-08-31T00:00:00
11398673,,,,RICHARD J MILLER,unmatched,false,2025,3UC2AR082186-02S1,UC2AR082186,UC2,NIAMS,83970,true,Mapping the joint-nerve interactome of the knee,RUSH UNIVERSITY MEDICAL CENTER,2022-09-23T00:00:00,2027-08-31T00:00:00
11398673,,,,Anne-Marie  Malfait,unmatched,true,2025,3UC2AR082186-02S1,UC2AR082186,UC2,NIAMS,83970,true,Mapping the joint-nerve interactome of the knee,RUSH UNIVERSITY MEDICAL CENTER,2022-09-23T00:00:00,2027-08-31T00:00:00
11139455,7926,David A. Bennett,Neurological Sciences,DAVID ALAN BENNETT,exact_first_last,true,2025,5P30AG072975-05,P30AG072975,P30,NIA,266115,true,Core A: Administrative Core,RUSH UNIVERSITY MEDICAL CENTER,2021-09-01T00:00:00,2026-06-30T00:00:00
11170614,9277,,,Anne-Marie  Malfait,unmatched,true,2025,5P30AR079206-05,P30AR079206,P30,NIAMS,290764,true,Administrative Core A,RUSH UNIVERSITY MEDICAL CENTER,2021-09-14T00:00:00,2026-08-31T00:00:00
11170617,9278,Rachel E. Miller,Internal Medicine,Rachel Elizabeth Miller,exact_first_last,true,2025,5P30AR079206-05,P30AR079206,P30,NIAMS,139160,true,Behavioral Core B,RUSH UNIVERSITY MEDICAL CENTER,2021-09-14T00:00:00,2026-08-31T00:00:00
10992663,,John Martin,Orthopedic Surgery,John  Martin,exact_first_last,true,2025,5R00AR077685-05,R00AR077685,R00,NIAMS,241530,false,Exercise-Induced Recovery of Intervertebral Disc Health,RUSH UNIVERSITY MEDICAL CENTER,2023-05-19T00:00:00,2025-12-31T00:00:00
11046678,,Elizabeth B. Lynch,Family & Preventive Medicine,ELIZABETH B LYNCH,exact_first_last,true,2025,5R01NR018463-05,R01NR018463,R01,NINR,636032,false,Alive Blood Pressure Project: A church-based intervention to improve blood pressure,RUSH UNIVERSITY MEDICAL CENTER,2020-05-01T00:00:00,2026-03-31T00:00:00
10863876,,Neelum T. Aggarwal,Neurological Sciences,NEELUM T. AGGARWAL,exact_first_last,false,2025,5R01AG073627-04,R01AG073627,R01,NIA,2514901,true,Impact of Neuroinflammation on AD Occurrence: A Bi-Generational Population Study,RUSH UNIVERSITY MEDICAL CENTER,2021-09-01T00:00:00,2027-05-31T00:00:00
10863876,,,,DENIS A EVANS,unmatched,false,2025,5R01AG073627-04,R01AG073627,R01,NIA,2514901,true,Impact of Neuroinflammation on AD Occurrence: A Bi-Generational Population Study,RUSH UNIVERSITY MEDICAL CENTER,2021-09-01T00:00:00,2027-05-31T00:00:00
10863876,,Kumar B. Rajan,Internal Medicine,Kumar B. Rajan,exact_first_last,true,2025,5R01AG073627-04,R01AG073627,R01,NIA,2514901,true,Impact of Neuroinflammation on AD Occurrence: A Bi-Generational Population Study,RUSH UNIVERSITY MEDICAL CENTER,2021-09-01T00:00:00,2027-05-31T00:00:00
11091558,,D. Rick Sumner,Anatomy & Cell Biology,D Rick Sumner,exact_first_last,true,2025,5T32AR073157-07,T32AR073157,T32,NIAMS,352914,true,Pre and Post-Doctoral Training in Joint Health,RUSH UNIVERSITY MEDICAL CENTER,2019-06-01T00:00:00,2029-05-31T00:00:00
11174359,,Ryan Ross,Anatomy & Cell Biology,Ryan Dee Ross,exact_first_last,true,2025,5R01AR081151-04,R01AR081151,R01,NIAMS,364953,true,Bone and fat cross-talk in antiretroviral therapy (ART) treated HIV patients,RUSH UNIVERSITY MEDICAL CENTER,2022-09-01T00:00:00,2027-07-31T00:00:00
11175945,,Mary K. Hayden,Internal Medicine,Mary Katherine Hayden,exact_first_last,true,2025,5U54CK000607-05,U54CK000607,U54,NCEZID,599792,true,"CK20-004, Chicago Prevention and Intervention Epicenter III (CPIE-III)",RUSH UNIVERSITY MEDICAL CENTER,2021-06-01T00:00:00,2026-05-31T00:00:00
11175945,,William Trick,Internal Medicine,William E Trick,exact_first_last,false,2025,5U54CK000607-05,U54CK000607,U54,NCEZID,599792,true,"CK20-004, Chicago Prevention and Intervention Epicenter III (CPIE-III)",RUSH UNIVERSITY MEDICAL CENTER,2021-06-01T00:00:00,2026-05-31T00:00:00
11179190,,,,Julie PW Bynum,unmatched,false,2025,5R01AG079226-04,R01AG079226,R01,NIA,613366,true,Use of Healthcare Across the Full Continuum of Cognitive Health and Decline in Older Adults,RUSH UNIVERSITY MEDICAL CENTER,2022-09-30T00:00:00,2027-06-30T00:00:00
11179190,,Francine Grodstein,Internal Medicine,FRANCINE  GRODSTEIN,exact_first_last,true,2025,5R01AG079226-04,R01AG079226,R01,NIA,613366,true,Use of Healthcare Across the Full Continuum of Cognitive Health and Decline in Older Adults,RUSH UNIVERSITY MEDICAL CENTER,2022-09-30T00:00:00,2027-06-30T00:00:00
